BARRIO,PERIMETRO,AREA,COMUNA,LONGITUDE,LATITUDE
CHACARITA,7725.69522770465,3118100.972396454,15,-58.4518020861319,-34.5880647105625
VILLA CRESPO,8132.69934845057,3613583.690219133,15,-58.4418491950448,-34.5981416725561
BELGRANO,21504.19777447295,7932303.073795941,13,-58.4464521348604,-34.5532678728765
RECOLETA,21246.61170237569,6140873.291132379,2,-58.3964637494477,-34.5845546116709
RETIRO,18081.94892034407,4534475.94253397,1,-58.372298347688,-34.5883884720865
VILLA SANTA RITA,5757.75233470606,2153690.813292521,11,-58.4834525244926,-34.616378311772
BARRACAS,13018.21027140694,7960999.815832209,4,-58.3829169516616,-34.6445755450559
PALERMO,21768.07488579441,15772496.3315,14,-58.4227160209753,-34.5743954065221
PUERTO MADERO,17782.04410535398,5027424.897180086,1,-58.3526266685737,-34.6101158222289
BOCA,20595.90145984565,5028580.571448437,4,-58.3615293910316,-34.6338876903345
PARQUE CHAS,4531.25339627622,1385411.5137397586,15,-58.480045646722,-34.5854242669018
COLEGIALES,6374.61904506894,2289774.104275608,13,-58.4531038756845,-34.5746395655064
COGHLAN,4627.56313138427,1279951.3725618457,12,-58.4754180616737,-34.5601914789001
VILLA PUEYRREDON,7522.36038242715,3303239.5093599125,12,-58.5035894660205,-34.581609326625
SAN NICOLAS,6548.08474138703,2289007.581644656,1,-58.3802057464816,-34.603806714151
VILLA REAL,5070.96565244081,1334146.0828346398,10,-58.5247859065315,-34.619209220057
PATERNAL,7087.51329532852,2229829.033627959,15,-58.4715642002865,-34.5963782282419
SAN TELMO,5178.05650459628,1232275.0924744573,1,-58.3715549721975,-34.6225594664168
VILLA DEL PARQUE,7705.38979708046,3399595.6414838377,11,-58.4889954527539,-34.6059022854685
VILLA ORTUZAR,5684.99521114166,1853802.0520341294,15,-58.4672995761556,-34.5815446337104
ALMAGRO,8537.90136849144,4050752.245238037,5,-58.4224632845641,-34.6098936682854
FLORESTA,7519.65409179512,2320640.73550665,10,-58.48267829941,-34.6278315241088
Dique 3,1824.01846993676,111948.57968137004,1,-58.3650410264787,-34.6085990571536
CABALLITO,10990.96447148555,6851028.913569859,6,-58.4435324959958,-34.6166562779805
MONTE CASTRO,7361.03641754914,2627481.3250838155,10,-58.5052109648438,-34.6187880463312
FLORES,15772.42518505723,8590784.123112965,7,-58.4621873655078,-34.6353460166486
CONSTITUCION,6326.84478327814,2102008.907293136,1,-58.3838643102714,-34.6257883610081
SAN CRISTOBAL,5987.22647878944,2043711.1234559102,3,-58.4017970791833,-34.6242575447172
BOEDO,6602.54330788318,2609773.9443639778,5,-58.4188807059834,-34.6304213552842
VELEZ SARSFIELD,7045.57833171873,2400518.3260205286,10,-58.4939349754642,-34.6313352534466
VILLA LURO,8652.93003127446,2566936.8725100686,10,-58.5029621864507,-34.6350484121104
PARQUE PATRICIOS,7878.46811523247,3743506.9277721597,4,-58.4006301091095,-34.6379179538403
BALVANERA,8375.82181080804,4342280.268044817,3,-58.4032681717613,-34.6093227058563
MATADEROS,11124.63579209356,7398178.840351142,9,-58.5017739117247,-34.6589590220086
VILLA LUGANO,15057.46838942108,9296142.36140115,8,-58.47985715382,-34.6746538240819
SAAVEDRA,11132.13934564297,5538676.832824609,12,-58.4889030865477,-34.554313884165
ESCOLLERA EXTERIOR,5594.74850613002,19098.62493383535,0,-58.3572685061929,-34.5831839348174
VILLA URQUIZA,10021.45966480549,5449058.922850109,12,-58.4872748403288,-34.5719612667097
VILLA GRAL. MITRE,6290.44056056462,2162275.1153492713,11,-58.4698306002429,-34.6105078438308
AGRONOMIA,6556.16777187041,2122169.3421226563,15,-58.4883951507128,-34.5922445833988
Dique 4,1721.21602535911,102417.9432859438,1,-58.3658063508058,-34.6019151825093
Dique 1,1653.37224074316,93066.19329152629,1,-58.3636635528939,-34.6208262207471
PARQUE AVELLANEDA,10165.62712936149,4732708.217487961,9,-58.4773777903261,-34.6497140035796
PARQUE CHACABUCO,8406.91432074686,3832116.6992176925,7,-58.4379303416617,-34.637175431996
Dique 2,1584.25909982781,92460.93540200627,1,-58.3643130497832,-34.6149754951675
NUEVA POMPEYA,11183.35561110148,4968150.981555165,4,-58.4177772495764,-34.6500773392728
VILLA RIACHUELO,10597.25280900626,4232873.699182919,8,-58.4645781520123,-34.6928607982816
VILLA SOLDATI,12534.57186003496,8663594.549313283,8,-58.4479777460868,-34.6678776277971
VILLA DEVOTO,11562.00680001969,6404480.853708783,11,-58.5141058486933,-34.6007416676166
LINIERS,9256.92732128621,4374418.736767298,9,-58.5166357749025,-34.6448445206002
VERSALLES,5650.46628643252,1406833.595801687,10,-58.5230739499297,-34.62917326487
MONSERRAT,6739.22229846068,2198621.941839996,1,-58.3794389028705,-34.612330602846
NUÑEZ,10674.41646756023,4349735.971048946,13,-58.4611350328884,-34.5432347991421
